0:00:01 - 0:00:16, [âm nhạc]
0:05:39 - 0:05:44, trừ vô cùng cộng vô cùng về chính cái
0:05:42 - 0:05:47, miền giá trị mà có hai cái phân cực là
0:05:44 - 0:05:49, hai cái nhãn chúng ta cần phân loại đó
0:05:47 - 0:05:52, là 0 và 1. Đó.
0:05:49 - 0:05:54, Rồi thì đó chính là hai cái tiện lợi khi
0:05:52 - 0:05:56, chúng ta sử dụng hàm sigmo đó là đưa về
0:05:54 - 0:06:00, chính cái không gian nhãn của mình luôn
0:05:56 - 0:06:03, là 0 và 1. Và đạo hàm của nó thì là liên
0:06:00 - 0:06:06, tục và tính một cách dễ dàng.
0:06:03 - 0:06:09, Mặt khác khi chúng ta sử dụng cái hàm à
0:06:06 - 0:06:11, sig này thì khi cái giải giá trị từ 0
0:06:09 - 0:06:13, cho đến 1 chúng ta cũng có thể tính được
0:06:11 - 0:06:18, cái hàm loss. Tính được cái hàm loss một
0:06:13 - 0:06:22, cách dễ dàng giữa i và p. Đó, trong
0:06:18 - 0:06:25, trường hợp này thì p
0:06:22 - 0:06:28, sigma của wx + b ha. Thì lúc này nó chỉ
0:06:25 - 0:06:32, đơn giản nó là bằng trừ của p à trừ của
0:06:28 - 0:06:36, y log p
0:06:32 - 0:06:40, và trừ của 1 - y
0:06:36 - 0:06:42, log của 1 - p.
0:06:40 - 0:06:45, Thì cái công thức này cũng hoàn toàn có
0:06:42 - 0:06:48, thể tính đạo hàm được một cách dễ dàng
0:06:45 - 0:06:50, và nó là một cái hàm liên tục thì giúp
0:06:48 - 0:06:53, cho cái việc huấn luyện cái thuật toán
0:06:50 - 0:06:56, rent của mình nó sẽ dễ dàng hơn. Thì đó
0:06:53 - 0:06:58, chính là lý do tại sao chúng ta sử dụng
0:06:56 - 0:07:00, mô hình hồi quyến tính. không sử dụng mô
0:06:58 - 0:07:04, đồ tiến tính mà chúng ta phải có thêm
0:07:00 - 0:07:04, cái thành phần đó là sigmo ở đây.
0:07:06 - 0:07:18, [âm nhạc]
