0:00:01 - 0:00:15, [âm nhạc]
0:02:29 - 0:02:34, cụ thể là các cái điểm màu xanh thì nó
0:02:31 - 0:02:36, sẽ khi thế cái tọa độ đó khi thế tọa độ
0:02:34 - 0:02:40, vào cái
0:02:36 - 0:02:42, công thức là W1 x1 W2 X2 cộng cho B này
0:02:40 - 0:02:44, á thì nó sẽ cùng dấu. Ví dụ như những
0:02:42 - 0:02:47, cái điểm ở phía trên tức là màu xanh này
0:02:44 - 0:02:51, khi chúng ta thế vào,
0:02:47 - 0:02:55, chúng ta thế vào thì W1 x1 cộng cho W2
0:02:51 - 0:02:58, x2 cộng cho B thì nó sẽ là một con số
0:02:55 - 0:03:02, lớn hơn 0. Và tất cả các cái con à cái
0:02:58 - 0:03:03, tọa độ của à tất cả các cái tọa độ của
0:03:02 - 0:03:06, các cái điểm màu xanh này khi thế vào
0:03:03 - 0:03:08, thì nó đều cùng dấu, tức là dương. Ngược
0:03:06 - 0:03:11, lại. Thế thì nếu như ở phía trên mà
0:03:08 - 0:03:12, dương thì ở phía ngược lại thì nếu mà
0:03:11 - 0:03:15, chúng ta lấy cái tọa độ của các cái điểm
0:03:12 - 0:03:18, màu cam này nè thế vào phương trình thì
0:03:15 - 0:03:22, w1x1 cộng cho w2x2
0:03:18 - 0:03:24, à nó sẽ là cộng b nó sẽ ra cùng dấu và
0:03:22 - 0:03:27, nó sẽ là bé hơn 0.
0:03:24 - 0:03:28, Mặt khác thì nó sẽ có thêm một cái tính
0:03:27 - 0:03:31, chất hình học nữa đó là những cái điểm
0:03:28 - 0:03:34, mà ở càng xa à có cái khoảng cách càng
0:03:31 - 0:03:36, xa so với lại cái đường thẳng này á thì
0:03:34 - 0:03:38, khi chúng ta thế vào đối với những cái
0:03:36 - 0:03:41, điểm mà ví dụ như điểm này chúng ta thế
0:03:38 - 0:03:43, vào thì chúng ta thấy cái khoảng cách
0:03:41 - 0:03:47, của mình đó là xa nhất. Thì khi thế vào
0:03:43 - 0:03:50, cái công thức w1 x1 w2 x2 cộng w à cộng
0:03:47 - 0:03:53, b thì nó sẽ ra một con số rất là lớn à
0:03:50 - 0:03:55, nó sẽ lớn hơn so với lại cái con số mà
0:03:53 - 0:03:57, khi chúng ta thế vô tại đây. Thì cái này
0:03:55 - 0:04:00, là ừ nó tương đương với lại một cái công
0:03:57 - 0:04:01, thức về mặt khoảng cách điểm mà càng gần
0:04:00 - 0:04:04, thì khi chúng ta thế vô cái công thức
0:04:01 - 0:04:07, này thì nó sẽ ra một cái con số dương
0:04:04 - 0:04:09, nhưng mà con số này gần gần bằng 0. Còn
0:04:07 - 0:04:11, nếu như cái điểm mà xa hơn à khi thay
0:04:09 - 0:04:13, thế vào công thức này thì nó cũng ra số
0:04:11 - 0:04:16, dương nhưng mà cái con số của nó sẽ lớn
0:04:13 - 0:04:19, hơn. Ở khí cạnh ngược lại thì ví dụ như
0:04:16 - 0:04:22, cái điểm này thế vào thì chúng ta thấy
0:04:19 - 0:04:25, là nó sẽ ra số âm nhưng mà nó sẽ gần số
0:04:22 - 0:04:27, 0. Còn nếu chúng ta thế vô cái điểm này
0:04:25 - 0:04:29, à là cái điểm mà nó có cái khoảng cách
0:04:27 - 0:04:31, lớn thì khi chúng ta thế vào công thức
0:04:29 - 0:04:34, này nó cũng ra số âm nhưng mà cái trị
0:04:31 - 0:04:37, tuyệt đối của nó nó lớn hơn. Thì đó
0:04:34 - 0:04:40, chính là cái ý nghĩa về mặt hình học của
0:04:37 - 0:04:46, cái mô hình hồi quy logistic một cách
0:04:40 - 0:04:48, tóm gọn. Đó là cái bộ tham số W và B. B
0:04:46 - 0:04:51, là bias. Nó chính là cái bộ hệ số của
0:04:48 - 0:04:54, cái phương trình đường thẳng để tách ra
0:04:51 - 0:04:56, làm hai phần. à tách cái không gian của
0:04:54 - 0:05:00, mình ra làm hai phần như thế này. Và các
0:04:56 - 0:05:02, cái điểm màu xanh và màu cam ở đây thì
0:05:00 - 0:05:04, khoảng cách mà càng gần đến cái đường
0:05:02 - 0:05:08, phân lớp này thì khi thế vô cái trị
0:05:04 - 0:05:11, tuyệt đối cái trị tuyệt đối của nó của
0:05:08 - 0:05:13, nó sẽ là càng nhỏ và cái điểm càng xa
0:05:11 - 0:05:14, thì cái trị tuyệt đối của nó sẽ càng xa.
0:05:13 - 0:05:16, Thì đó chính là ý nghĩa hình học của mô
0:05:14 - 0:05:28, hình.
0:05:16 - 0:05:28, [âm nhạc]
